RATA DE MOLIENDA (m3/h);FLUJO DE JUGO CLARO (m3/h);TEMPERATURA DE JUGO CLARO (Â°C);PRESION PSIG CALANDRIA 1;% APERTURA VALVULA VAPOR CALANDRIA 1;FLUJO VAPOR EVAPORACION;FLUJO VAPOR VIVO TOTAL;FLUJO VAPOR CONDENSACION;EXCESO VAPOR,,,,
220;218;108;16,54;94,47;231,74;320;88;0,
228;240;106;17,17;67,76;278,41;325;47;1,
184;267;107;18,5;51,85;217,76;310;92;1,
202;227;105;18,51;67,29;217,76;310;92;0,
193;239;109;18,52;67,4;235,52;294;58;1,
189;237;108;18,58;66,97;220,18;306;86;1,
223;228;112;18,61;82,75;252,99;313;60;0,
191;224;105;18,39;99,63;245,06;308;63;1,
"199;284;108;16,62;99",64;249,54;314;64;1,,
188;272;107;16,41;86,99;250,03;313;63;si,
213;283;108;18,12;62,77;241,87;308;66;0,
204;288;110;17,49;51,96;247,62;313;65;1,
181;278;110;18,37;50,78;240,09;311;71;1,
208;238;111;18,62;76,56;234,21;296;62;no,
217;270;113;17,93;56,74;241,43;314;73;0,
222;284;112;18,69;47,74;240,12;255;15;0,
185;237;104;18,83;72,5;195,73;248;52;0,
203;255;108;18,27;52,37;254,1;296;42;1,
183;217;112;17,96;49,55;204,61;302;97;0,
197;246;110;18,21;46,49;220,98;307;86;0,
190;268;110;18,83;64,72;223,6;311;87;1,
188;215;110;18,84;66,47;214,43;306;92;0,
191;288;108;18,38;67,15;215,16;308;93;1,
188;274;110;18,87;52,05;223,6;314;90;1,
224;262;108;17,33;87,4;244,17;306;62;0,
228;249;104;16,59;81,31;267,21;304;37;0,
210;266;112;18,9;33,7;255,25;305;50;1,
180;275;110;17,64;79,77;213,08;307;94;1,
225;256;105;18,13;75,68;269,67;355;85;0,
221;286;108;17,68;91,57;251,37;315;64;0,
189;268;;17,54;80,61;211,9;290;78;0,
194;241;103;17,63;64,72;211,47;295;84;0,
199;288;109;17,23;61,51;227,19;289;62;0,
212;218;108;18,9;89;244,23;291;47;0,,
212;218;107;18,93;48,23;251,07;311;60;1,
201;245;109;18,99;73,65;252,99;306;53;1,
221;223;107;18,36;68,08;245,73;311;65;0,
206;225;109;18,41;64,71;218,06;312;94;0,
228;253;113;17,84;53,71;270,11;288;18;0,
224;270;106;19,05;40,74;239,96;305;65;0,
229;250;110;17,89;74,5;281,35;314;33;SI,
194;239;103;19,05;46,92;219,25;308;89;0,
222;279;108;19,1;62,3;251,07;315;64;0,
196;221;106;17,01;78,41;228,13;315;87;1,
215;218;112;17,4;66,24;242,91;305;62;0,
183;226;106;19,14;49,37;239,96;307;67;1,
193;216;113;17,49;65,79;210,1;306;96;0,
214;290;111;19,17;61,57;232,21;313;81;no aplica,
190;236;110;17,67;50,37;205,27;294;89;0,
227;212;103;19,17;88,54;253.16;306;53;0,,
206;283;113;19,25;49,25;248,58;309;60;1,
224;261;108;19,25;72,5;254,98;305;50;0,
203;222;111;19,25;79,19;214,45;305;91;0,
228;235;107;19,27;41,88;275,92;309;33;1,
203;216;111;19,29;63,76;248,58;305;56;1,
207;284;107;17,99;85,75;229,04;305;76;0,
218;263;;15,6;98,58;243,43;295;52;0,
195;252;110;14,27;99,62;209,12;258;49;0,
208;264;107;19,32;73,01;227,63;307;79;0,
216;248;103;18,24;59,27;232,43;310;78;0,
229;253;107;19,34;43,35;255,25;315;60;0,
211;246;;16,06;99,66;231,74;310;78;0,
216;214;98;16,88;79,09;234,43;313;79;0,
186;243;107;19,4;90,88;212,52;305;92;0,
190;245;112;19,41;60,5;214,45;304;90;0,
224;280;104;19,42;55,98;247,23;306;59;0,
216;251;109;19,42;95,47;244,74;306;61;0,
218;238;109;19,45;77,17;253,5;307;54;1,
197;275;104;17,98;99,64;245,06;309;64;1,
230;216;108;16,11;99,56;263,22;314;51;0,
181;231;106;15,96;98,58;250,03;312;62;1,
223;267;110;17,92;78,22;241,87;312;70;0,
202;244;113;17,42;64,29;247,62;307;59;1,
224;215;103;18,35;64,22;240,09;308;68;0,
180;213;107;19,47;69,18;233,06;312;79;1,
205;272;108;17,75;71,46;241,43;308;67;1,
184;289;110;19,5;55;220,13;307;87;1,,
217;267;111;19,58;59,53;253,5;311;58;1,
203;252;105;18,25;66,6;235,98;291;55;0,
222;247;108;17,94;64,92;279,19;290;11;1,
205;244;113;18,43;63,41;220,98;305;84;0,
223;254;107;19,59;88,32;233,23;312;79;0,
218;281;110;19,61;64,72;256,78;298;41;no,
230;249;103;18,12;82,2;268,73;311;42;0,
225;281;108;19,66;79,4;251,67;308;56;0,
217;237;108;16,87;98,26;250,11;301;51;0,
218;276;104;16,21;98,04;249,34;291;42;0,
198;250;106;19,82;71,63;215,06;310;95;0,
230;214;105;17,49;91,66;291,35;304;13;1,
223;278;112;17,78;82,27;267,89;287;19;0,
215;256;103;17,32;97,61;251,64;306;54;0,
219;263;104;17,19;97,54;231,98;301;69;0,
211;262;110;17,5;90,28;256,12;301;45;1,
217;247;109;17,1;85,42;234,52;269;34;0,
218;289;111;19,84;93,23;244,74;321;76;0,
230;246;104;19,84;50,73;267,99;301;33;0,
207;226;109;19,89;64,88;251,67;310;58;1,
200;219;112;18,18;97,13;220,37;308;88;0,
218;260;107;18,31;92,88;238,94;314;75;0,
224;266;110;17,79;80,16;234,66;287;52;0,
197;269;104;19,99;72,65;233,23;314;81;1,
183;275;90;17,65;97,01;223,72;308;84;1,
225;244;113;18,27;87;267,73;307;39;0,,
201;235;107;20,03;58,44;219,26;305;86;0,
207;243;104;16,65;97;228,13;314;86;0,,
220;290;111;17,21;86,67;252,22;315;63;0,
219;245;106;20,03;85,19;229,64;309;79;0,
183;238;103;17,15;81,71;210,1;291;81;0,
180;235;108;20,08;48,5;235,24;322;87;1,
224;262;113;17,68;62,37;289,19;293;4;1,
224;285;107;20,14;91,22;245,79;308;62;0,
183;251;106;20,22;94,72;268,82;325;56;1,
190;229;111;20,25;64,78;235,24;311;76;1,
201;251;111;20,41;51,16;212,25;300;88;0,
203;259;105;18,33;81,22;220,18;311;91;0,
183;265;106;20,5;78,01;212,25;290;78;0,
220;260;108;17,67;90,33;278,36;298;20;si,
197;249;112;15,33;98,05;275,75;293;17;1,
211;282;112;13,91;98,54;236,79;245;8;0,
227;224;106;20,52;81,16;275,12;331;56;1,
190;221;113;18,18;77,99;232,43;311;79;1,
182;216;112;20,64;93,89;268,82;342;73;1,
193;239;109;18,52;67,4;235,52;294;58,48;1
189;237;108;18,58;66,97;220,18;306;85,82;1
;228;;18,61;82,75;252,99;313;60,01;0
191;224;105;18,39;99,63;245,06;308;62,94;1
199;284;108;16,62;99,64;249,54;314;64,46;1
188;390;100;16,41;86,99;;313;62,97;1,
213;283;108;18,12;62,77;241,87;308;66,13;0
204;288;110;17,49;51,96;247,62;313;65,38;1
224;266;110;17,79;80,16;234,66;287;52,34;0
197;269;91;;72,65;233,23;314;80,77;1,
183;275;107;17,65;97,01;223,72;308;84,28;SI ES
225;244;113;18,27;87;267,73;307;39,27;0,
201;235;107;20,03;58,44;219,26;305;85,74;0
207;243;104;16,65;97;228,13;314;85,87;0,
220;290;111;17,21;86,67;252,22;315;62,78;0
183;181;106;19,14;49,37;239,96;307;67,04;1
193;216;98;17,49;65,79;210,1;306;95,9;NO
214;290;111;19,17;61,57;232,21;;80,79;0
190;236;110;17,67;50,37;205,27;294;88,73;0
227;212;103;19,17;88,54;253,16;306;52,84;0
217;182;108;16,87;98,26;250,11;301;50,89;0
218;276;104;16,21;98,04;249,34;291;41,66;0
;250;106;19,82;71,63;215,06;310;94,94;0
183;217;112;17,96;;204,61;302;97,39;0,
197;246;110;18,21;46,49;220,98;307;86,02;0
190;268;90;18,83;64,72;223,6;311;87,4;1
188;215;110;18,84;66,47;214,43;306;91,57;0
191;;108;18,38;67,15;215,16;308;92,84;1